sample_name	ASV_1	ASV_1000	ASV_1001	ASV_101	ASV_102	ASV_1039	ASV_1058	ASV_106	ASV_1080	ASV_1087	ASV_1091	ASV_11	ASV_111	ASV_1117	ASV_1135	ASV_1140	ASV_1144	ASV_1156	ASV_116	ASV_1164	ASV_1177	ASV_1184	ASV_119	ASV_1194	ASV_12	ASV_1204	ASV_1206	ASV_1208	ASV_121	ASV_1231	ASV_1241	ASV_1246	ASV_1281	ASV_1291	ASV_1317	ASV_1319	ASV_134	ASV_1353	ASV_1358	ASV_1361	ASV_1436	ASV_1438	ASV_144	ASV_1440	ASV_147	ASV_15	ASV_155	ASV_158	ASV_167	ASV_168	ASV_174	ASV_181	ASV_184	ASV_188	ASV_2	ASV_20	ASV_206	ASV_215	ASV_217	ASV_225	ASV_250	ASV_252	ASV_254	ASV_26	ASV_275	ASV_279	ASV_287	ASV_295	ASV_3	ASV_340	ASV_354	ASV_359	ASV_360	ASV_384	ASV_396	ASV_4	ASV_407	ASV_408	ASV_432	ASV_433	ASV_437	ASV_447	ASV_45	ASV_459	ASV_461	ASV_476	ASV_478	ASV_485	ASV_487	ASV_491	ASV_494	ASV_5	ASV_502	ASV_508	ASV_529	ASV_530	ASV_535	ASV_540	ASV_56	ASV_6	ASV_603	ASV_612	ASV_63	ASV_642	ASV_669	ASV_7	ASV_705	ASV_708	ASV_729	ASV_738	ASV_74	ASV_768	ASV_784	ASV_8	ASV_830	ASV_834	ASV_840	ASV_852	ASV_869	ASV_875	ASV_887	ASV_894	ASV_898	ASV_9	ASV_904	ASV_916	ASV_957	ASV_960	ASV_971	ASV_974	ASV_979	ASV_998
Algae1-1a1	1959	0	0	0	0	0	0	21	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	46	140	0	0	370	98	0	105	0	0	58	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	1107	28	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	41	0	0	0	0	0	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae1-1a2	3548	0	0	0	30	0	0	90	0	0	0	0	22	0	0	0	0	0	0	11	10	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	30	123	0	0	0	0	0	213	45	0	277	0	0	19	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	1133	10	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	36	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae1-2a1	13719	0	0	0	0	0	0	153	0	5	0	125	5	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	19	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	13	0	0	0	0	0	23	3037	0	0	0	0	0	0	131	0	0	10	0	0	0	0	0	647	0	0	0	0	0	0	38	0	0	0	6	0	0	0	0	0	0	28	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae1-2a2	12958	0	0	0	0	0	0	167	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	3044	0	0	101	0	0	0	200	0	0	0	0	0	0	0	0	785	0	0	0	0	0	0	164	0	0	0	41	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae1-5a1	6339	0	0	0	0	0	0	0	0	0	0	392	135	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	89	0	0	0	0	282	19	0	0	0	268	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	469	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
Algae1-5a2	6337	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	212	0	53	0	0	0	0	0	0	0	726	0	0	319	0	0	0	0	0	0	26	0	0	0	0	0	0	0	14	0	30	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae1-6a1	1056	0	0	0	10	0	0	12	0	0	0	638	0	0	0	0	0	0	0	0	0	0	0	0	3041	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	418	0	0	0	0	0	0	63	0	0	0	0	0	239	0	16	0	0	0	0	0	6117	0	0	11	0	0	0	184	143	0	0	0	0	0	0	0	1808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Algae1-6a2	3231	0	0	0	89	0	0	7	0	0	0	1826	0	13	0	0	0	12	0	0	0	0	0	0	5794	0	0	0	23	8	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	594	389	0	62	0	0	0	123	37	0	0	0	0	231	0	0	0	0	0	0	0	9861	0	0	0	0	0	0	242	48	0	0	0	0	0	0	0	2422	0	0	0	0	0	0	0	0	0	0	117	0	69	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae2-2a5	33224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae2-2a6	15921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae2-5a3	3703	0	0	0	520	0	0	0	0	0	0	253	57	0	0	0	0	0	0	0	0	0	0	0	1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	446	0	0	0	540	0	0	0	0	0	0	0	1630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	462	0	0	0	0	0	130	588	0	0	0	161	0	0	0	0	0	0	0	400	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
Algae2-5a4	3306	0	0	0	31	17	0	265	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	432	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	257	0	0	0	149	0	0	0	78	0	0	0	823	0	0	0	0	12	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	6583	154	101	0	184	0	0	1207	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	830	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algae2-6a3	3954	19	0	0	94	0	0	218	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	922	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	122	0	0	0	35	0	0	34	625	0	0	0	0	28	0	0	0	0	0	0	0	0	0	8	0	0	8	8	0	293	0	79	67	0	0	0	3633	0	0	0	0	0	95	0	0	416	0	0	0	0	0	0	460	0	0	0	0	0	0	0	0	17	0	0	164	0	0	170	0	0	0	33	0	0	0	0	0	0	0	26	0	0	0	0	0	0
Algae2-6a4	8123	0	0	0	46	0	0	28	0	9	0	334	62	0	0	0	0	0	0	0	0	0	0	0	934	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	35	0	0	265	21	0	0	24	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	228	0	0	0	0	0	0	689	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	59	0	0	0	38	0	0	0	0	0	0	0	167	0	24	136	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
Algae2-7a3	2259	0	0	0	238	0	0	358	0	0	0	0	92	0	0	0	0	0	11	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	0	0	0	0	249	0	51	349	0	0	177	1307	210	430	0	0	0	0	0	60	0	0	0	0	0	0	0	38	0	0	0	0	3367	18	0	0	0	0	0	353	0	0	19	0	0	0	0	18	369	0	0	0	0	0	0	247	0	0	0	730	0	0	0	0	0	0	0	209	0	0	204	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
Algae2-7a4	2401	0	0	0	151	0	0	369	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	333	288	0	234	0	0	131	308	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	1700	0	44	0	0	0	0	244	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	188	0	0	0	610	0	0	0	0	18	0	0	288	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
Sediment1-5a1	8610	0	0	0	31	0	0	0	0	0	0	0	34	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	42	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
Sediment1-5a2	4557	0	0	0	29	0	0	0	0	0	0	0	37	0	0	0	0	0	23	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment1-6a1	0	0	0	0	13	0	0	36	0	0	0	0	96	0	0	0	0	0	63	0	0	0	0	0	2550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	127	51	0	0	0	123	0	0	392	0	0	0	0	0	0	38	0	0	0	0	0	147	0	0	0	0	2070	0	0	0	0	0	0	13	0	0	0	0	0	24	0	0	32	0	0	0	0	39	0	0	0	0	0	13	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	14	0	0	0	0	0
Sediment1-6a2	637	0	0	0	37	0	0	10	0	0	0	0	94	0	0	0	0	0	18	0	0	0	0	0	1773	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	39	54	16	34	0	0	0	0	247	0	0	0	0	0	0	0	0	24	21	0	0	0	73	0	0	0	0	0	0	1428	0	0	0	0	0	0	57	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	77	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment1-7a1	1180	0	0	0	0	0	0	0	0	0	0	52	61	0	0	0	0	0	39	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	114	0	0	69	0	28	0	0	0	0	161	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	14	0	53	163	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment1-7a2	586	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	35	0	0	0	0	0	0	33	0	0	0	0	5	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	24	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment1-8a3	440	0	0	124	48	0	0	0	0	0	0	0	120	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	47	0	0	0	0	0	0	28	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	193	0	20	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment1-8a4	500	0	0	160	130	0	0	0	0	0	0	0	123	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	33	0	0	0	0	0	28	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment2-4a3	653	0	0	0	0	0	0	13	0	0	14	0	358	0	0	0	0	0	55	0	0	0	0	0	468	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	133	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	11	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22	0	0	0	0	0	0	129	0	0	0	21	0	0	0	0	0	0	0	94	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment2-4a4	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	54	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	35	0	0	61	0	0	0	0	0	0	0	0	0	0	0	16	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	5	11	0	0	0	0	0	0	0	0	0	0	0	0
Sediment2-5a1	3052	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	11	0	0	0	0	0	368	9	0	4	0	0	0	0	52	0	0	0	0	0	1301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment2-5a2	6473	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	96	30	0	0	0	0	0	0	23	0	0	0	0	0	0	0	9	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	44	0	0	0	0	0	0	0	61	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment2-6a1	1561	0	0	0	0	0	0	14	0	0	0	0	17	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	39	0	0	4	0	0	0	0	19	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment2-6a2	1326	0	0	0	0	0	0	7	0	0	0	0	29	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0
Sediment2-9a1	1004	0	0	0	0	0	0	21	0	0	0	457	18	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	4	0	0	0	0	0	0	130	0	0	0	0	0	16	0	0	0	0	393	0	14	0	0	0	0	54	0	0	0	0	0	0	0	0	351	0	0	0	0	0	0	315	0	0	0	0	0	0	0	0	0	10	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediment2-9a2	1130	0	0	0	90	0	0	22	0	0	0	405	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	52	0	0	28	0	0	13	0	0	0	66	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	42	0	0	0	0	312	0	0	0	0	0	0	0	0	0	0	0	0	7	0	20	433	0	0	0	0	0	0	185	0	0	0	11	0	0	0	0	0	22	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
