"Comparison","F","RÂ²","p","p (FDR)","Sig (FDR)"
"Goniastrea_vs_Sediment",56.227,0.778,0.001,0.0028,"**"
"Goniastrea_vs_Algae",47.4,0.76,0.002,0.00467,"**"
"Goniastrea_vs_Sorites",53.397,0.781,0.001,0.0028,"**"
"Goniastrea_vs_Water",22.058,0.58,0.001,0.0028,"**"
"Goniastrea_vs_Porites",73.27,0.84,0.001,0.0028,"**"
"Goniastrea_vs_Montipora",16.146,0.618,0.021,0.0309,"*"
"Goniastrea_vs_Stichodactyla",12.447,0.555,0.018,0.0309,"*"
"Sediment_vs_Algae",0.871,0.063,0.396,0.396,"-"
"Sediment_vs_Sorites",14.821,0.533,0.001,0.0028,"**"
"Sediment_vs_Water",33.437,0.705,0.002,0.00467,"**"
"Sediment_vs_Porites",373.691,0.969,0.001,0.0028,"**"
"Sediment_vs_Montipora",88.657,0.917,0.021,0.0309,"*"
"Sediment_vs_Stichodactyla",33.121,0.805,0.021,0.0309,"*"
"Algae_vs_Sorites",15.36,0.561,0.003,0.006,"**"
"Algae_vs_Water",32.844,0.716,0.001,0.0028,"**"
"Algae_vs_Porites",438.243,0.976,0.001,0.0028,"**"
"Algae_vs_Montipora",110.461,0.94,0.031,0.0347,"*"
"Algae_vs_Stichodactyla",45.179,0.866,0.027,0.0329,"*"
"Sorites_vs_Water",63.026,0.829,0.001,0.0028,"**"
"Sorites_vs_Porites",1401.653,0.992,0.003,0.006,"**"
"Sorites_vs_Montipora",689.549,0.99,0.018,0.0309,"*"
"Sorites_vs_Stichodactyla",664.601,0.99,0.026,0.0329,"*"
"Water_vs_Porites",119.051,0.908,0.001,0.0028,"**"
"Water_vs_Montipora",24.968,0.757,0.025,0.0329,"*"
"Water_vs_Stichodactyla",6.776,0.459,0.023,0.0322,"*"
"Porites_vs_Montipora",14.082,0.701,0.031,0.0347,"*"
"Porites_vs_Stichodactyla",110.196,0.948,0.038,0.0409,"*"
"Montipora_vs_Stichodactyla",32.879,0.943,0.333,0.346,"-"
